file_name,method_name,line_count,complexity,code_smell_detected
cross_device_utils.py,aggregate_gradients_using_nccl,12,4,False
cross_device_utils.py,aggregate_gradients_using_hierarchical_copy,80,6,True
cross_device_utils.py,aggregate_single_gradient_using_copy,33,5,True
cross_device_utils.py,aggregate_tensors_or_indexed_slices,6,3,False
cross_device_utils.py,divide_by_n_tensors_or_indexed_slices,7,2,False
cross_device_utils.py,copy_tensor_or_indexed_slices_to_device,15,3,False
cross_device_utils.py,is_indexed_slices,7,4,False
cross_device_utils.py,split_by_sparsity,23,3,False
cross_device_utils.py,stitch_values,21,7,False
cross_device_utils.py,group_by_size,38,6,True
cross_device_utils.py,_pad_util,12,1,False
cross_device_utils.py,__init__,10,1,False
cross_device_utils.py,get_group_key,16,2,False
cross_device_utils.py,_get_new_group_key,20,2,False
cross_device_utils.py,get_instance_key,27,3,False
cross_device_utils.py,__deepcopy__,7,1,False
cross_device_utils.py,__init__,13,2,False
cross_device_utils.py,_control_input,5,3,False
cross_device_utils.py,_use_unique_instance_key,4,2,False
cross_device_utils.py,_use_ordering_token,6,2,False
cross_device_utils.py,_next_instance_key,30,5,False
cross_device_utils.py,_get_ordering_token,3,2,False
cross_device_utils.py,can_order_nccl,3,1,False
cross_device_utils.py,all_reduce,30,1,False
cross_device_utils.py,_all_gather,24,1,False
cross_device_utils.py,batch_all_reduce,45,10,True
cross_device_utils.py,all_gather,62,3,True
cross_device_utils.py,all_reduce_indexed_slices,70,1,True
cross_device_utils.py,all_gather_indexed_slices,18,2,False
cross_device_utils.py,all_gather_with_padding,13,2,False
trackable_view.py,__init__,13,2,False
trackable_view.py,children,18,2,False
trackable_view.py,root,7,3,False
trackable_view.py,descendants,3,1,False
trackable_view.py,_descendants_with_paths,16,4,False
values.py,_on_write_update_replica,53,6,True
values.py,apply_aggregation_replica_context,24,4,False
values.py,_per_replica_to_tensor,19,6,False
values.py,_tensor_conversion_distributed_var,5,1,False
values.py,_tensor_conversion_mirrored,2,1,False
values.py,_tensor_conversion_mirrored_val,3,1,False
values.py,_tensor_conversion_sync_on_read,2,1,False
values.py,__init__,3,1,False
values.py,_get,7,2,False
values.py,_get_cross_replica,6,1,False
values.py,_get_on_device_or_primary,12,4,False
values.py,_primary,3,1,False
values.py,_devices,2,2,False
values.py,__str__,4,2,False
values.py,__repr__,4,2,False
values.py,__getattr__,25,4,False
values.py,values,3,1,False
values.py,_get_as_operand,8,1,False
values.py,__add__,2,1,False
values.py,__radd__,2,1,False
values.py,__sub__,2,1,False
values.py,__rsub__,2,1,False
values.py,__mul__,2,1,False
values.py,__rmul__,2,1,False
values.py,__truediv__,2,1,False
values.py,__rtruediv__,2,1,False
values.py,__floordiv__,2,1,False
values.py,__rfloordiv__,2,1,False
values.py,__mod__,2,1,False
values.py,__rmod__,2,1,False
values.py,__lt__,2,1,False
values.py,__le__,2,1,False
values.py,__gt__,2,1,False
values.py,__ge__,2,1,False
values.py,__and__,2,1,False
values.py,__rand__,2,1,False
values.py,__or__,2,1,False
values.py,__ror__,2,1,False
values.py,__xor__,2,1,False
values.py,__rxor__,2,1,False
values.py,__getitem__,2,1,False
values.py,__pow__,2,1,False
values.py,__rpow__,2,1,False
values.py,__invert__,2,1,False
values.py,__neg__,2,1,False
values.py,__abs__,2,1,False
values.py,__div__,6,2,False
values.py,__rdiv__,6,2,False
values.py,__matmul__,6,2,False
values.py,__rmatmul__,6,2,False
values.py,_type_spec,3,2,False
values.py,values,3,1,False
values.py,__init__,2,1,False
values.py,_serialize,2,1,False
values.py,_component_specs,2,1,False
values.py,_to_components,7,3,False
values.py,_from_components,2,1,False
values.py,_get_cross_replica,2,1,False
values.py,_as_graph_element,6,3,False
values.py,_is_mirrored,2,1,False
values.py,__init__,5,1,False
values.py,__eq__,5,5,False
values.py,__hash__,2,1,False
values.py,__init__,4,1,False
values.py,is_subtype_of,2,1,False
values.py,most_specific_common_supertype,2,3,False
values.py,placeholder_value,2,1,False
values.py,to_tensors,2,1,False
values.py,cast,2,1,False
values.py,__hash__,2,1,False
values.py,__eq__,5,2,False
values.py,__init__,58,11,True
values.py,__deepcopy__,34,2,True
values.py,_use_packed_variable,5,2,False
values.py,is_initialized,24,4,False
values.py,initializer,11,4,False
values.py,initialized_value,2,1,False
values.py,_is_mirrored,2,2,False
values.py,initial_value,2,1,False
values.py,constraint,2,1,False
values.py,graph,2,1,False
values.py,_shared_name,2,1,False
values.py,_unique_id,2,1,False
values.py,_graph_key,3,1,False
values.py,name,2,1,False
values.py,dtype,2,1,False
values.py,shape,2,1,False
values.py,synchronization,2,1,False
values.py,aggregation,2,1,False
values.py,_packed_variable,4,2,False
values.py,handle,12,4,False
values.py,eval,2,1,False
values.py,_save_slice_info,2,1,False
values.py,_get_save_slice_info,2,1,False
values.py,_set_save_slice_info,3,2,False
values.py,device,2,1,False
values.py,trainable,2,1,False
values.py,distribute_strategy,2,1,False
values.py,get_shape,2,1,False
values.py,to_proto,2,1,False
values.py,op,10,3,False
values.py,_in_graph_mode,2,1,False
values.py,_get_replica,7,2,False
values.py,_get,9,3,False
values.py,_get_on_device_or_primary,14,5,False
values.py,read_value,5,2,False
values.py,value,6,3,False
values.py,numpy,6,2,False
values.py,assign_sub,12,3,False
values.py,assign_add,12,3,False
values.py,assign,12,3,False
values.py,scatter_sub,8,3,False
values.py,scatter_add,8,3,False
values.py,scatter_mul,8,3,False
values.py,scatter_div,8,3,False
values.py,scatter_min,8,3,False
values.py,scatter_max,8,3,False
values.py,scatter_update,8,3,False
values.py,__tf_tracing_type__,2,1,False
